id,city,country,latitude,longitude,fqdn,ipv6,measurement_id
6558,Offenbach,Germany,50.1115,8.7395,de-off-as25220.anchors.atlas.ripe.net,2001:4b38:5:101::10,21829891
6576,Remscheid,Germany,51.1905,7.2305,de-red-as60316.anchors.atlas.ripe.net,2a04:5a00:5a00:10d3:aa::1,22293365
6679,Fulda,Germany,50.5615,9.6805,de-ful-as8319.anchors.atlas.ripe.net,2001:4cd8:3::23,23524868
6715,Limburg an der Lahn,Germany,50.3995,8.0775,de-lml-as16276.anchors.atlas.ripe.net,2001:41d0:701:1000::839,23793556
6761,Furtwangen,Germany,48.0475,8.2105,de-fwn-as553-client.anchors.atlas.ripe.net,2001:7c0:f00:3c03::2,24449416
6787,Wolfsburg,Germany,52.4305,10.7915,de-wob-as9136.anchors.atlas.ripe.net,2a01:581:1:8::4,25219118
6789,Hassfurt,Germany,50.0315,10.5215,de-has-as44973.anchors.atlas.ripe.net,2a02:218:2:232::55,25228302
6806,Norderstedt,Germany,53.7005,9.9875,de-not-as61157.anchors.atlas.ripe.net,2a00:74c0:0:2::20,25639377
6812,Garching bei München,Germany,48.2585,11.6675,de-gbm-as56357.anchors.atlas.ripe.net,2a00:4700:0:5::4,25904004
6813,Ettlingen,Germany,48.9485,8.3875,de-ett-as202040.anchors.atlas.ripe.net,2a04:d140:1::3,25910852
6814,Köln,Germany,50.9095,7.0575,de-cgn-as61157.anchors.atlas.ripe.net,2a02:cbf3:0:a::11,25984934
6824,Dresden,Germany,51.0395,13.7285,de-drs-as42699.anchors.atlas.ripe.net,2a02:2878:0:a::1077:1,26290610
6826,Rheine,Germany,52.3105,7.4385,de-rhe-as42184.anchors.atlas.ripe.net,2a02:f08:203:beef::100,26294755
6838,Erlangen,Germany,49.5715,11.0285,de-erl-as680-client.anchors.atlas.ripe.net,2001:638:a004:1002:192:44:83:3,26623456
6858,Saarbrücken,Germany,49.2615,7.0395,de-scn-as680-client.anchors.atlas.ripe.net,2a02:d480:4c0:10a6::1000,27173392
6869,Falkenstein,Germany,50.4815,12.3305,de-fks-as213392.anchors.atlas.ripe.net,2a0c:9a40:8041:0:1337:cafe:babe:aaaf,27268744
6908,Münster,Germany,51.9715,7.5975,de-msr-as680.anchors.atlas.ripe.net,2a02:c6a0:2040:b305:100::d,28329454
6922,Göttingen,Germany,51.5485,9.9285,de-goe-as39835.anchors.atlas.ripe.net,2a03:6880:1:205::23,28635137
7006,Aachen,Germany,50.7805,6.1275,de-aah-as34953.anchors.atlas.ripe.net,2a00:fe0:1:111::2,30622284
7012,Kiel,Germany,54.3185,10.1175,de-kel-as13101.anchors.atlas.ripe.net,2a00:12d0:102::5,30855074
7022,Tangstedt,Germany,53.7385,10.0785,de-57x-as200567.anchors.atlas.ripe.net,2a05:2a80:1::300,31579855
7034,Calw,Germany,48.7095,8.7385,de-cal-as39702.anchors.atlas.ripe.net,2a01:4d80:216:c1::1,32294633
7054,Kempten,Germany,47.7595,10.3195,de-uwg-as12931.anchors.atlas.ripe.net,2001:14e0:0:b::a,34679600
7096,Bautzen,Germany,51.1905,14.3515,de-bau-as47295.anchors.atlas.ripe.net,2a03:2400::1:1,41340320
7151,Herford,Germany,52.1175,8.6495,de-hrd-as8879.anchors.atlas.ripe.net,2a00:1348::1d:0:0:1,46900710
7208,Ludwigshafen am Rhein,Germany,49.4915,8.4175,de-lwr-as9022-client.anchors.atlas.ripe.net,2a00:e58:0:1a::2,52509031
6249,Esch-sur-Alzette,Luxembourg,49.5015,5.9495,lu-ezt-as2602.anchors.atlas.ripe.net,2001:a18:0:409::2,7707777
6518,Bettembourg,Luxembourg,49.5115,6.1075,lu-bet-as51405.anchors.atlas.ripe.net,2a02:2290:2:48::71,20353531
6082,Amsterdam,Netherlands (Kingdom of the),52.3485,4.8315,nl-ams-as12041.anchors.atlas.ripe.net,2001:500:f1:500::231,1769338
