id,city,country,latitude,longitude,fqdn,ipv4,measurement_id
6878,Minsk,Belarus,53.8915,27.4605,by-msq-as56740.anchors.atlas.ripe.net,31.130.200.18,27717243
6402,Sofia,Bulgaria,42.6685,23.3975,bg-sof-as31287.anchors.atlas.ripe.net,85.187.20.236,16519122
6845,Silistra,Bulgaria,44.1195,27.2595,bg-sls-as198228.anchors.atlas.ripe.net,195.250.60.125,26788759
7260,Varna,Bulgaria,43.2075,27.9305,bg-var-as213093.anchors.atlas.ripe.net,185.184.62.4,59874141
6544,Prague,Czechia,50.0595,14.4795,cz-prg-as39392.anchors.atlas.ripe.net,88.86.103.5,21317854
6788,Brno,Czechia,49.2115,16.6015,cz-brq-as2852-client.anchors.atlas.ripe.net,147.251.58.107,25225858
6039,Budapest,Hungary,47.5015,19.0385,hu-bud-as12303.anchors.atlas.ripe.net,5.28.0.17,1423187
7175,Szeged,Hungary,46.2595,20.1505,hu-sze-as210579-client.anchors.atlas.ripe.net,91.227.139.106,49708759
6323,Katowice,Poland,50.2485,18.9985,pl-ktw-as206186.anchors.atlas.ripe.net,188.241.28.37,10509900
6669,Warsaw,Poland,52.2315,21.0005,pl-wrs-as199524.anchors.atlas.ripe.net,5.188.108.64,23414625
6800,Ozarów Mazowiecki,Poland,52.2075,20.8075,pl-ozm-as16276.anchors.atlas.ripe.net,51.83.252.103,25562100
6956,Szczecin,Poland,53.5005,14.5895,pl-szz-as28785.anchors.atlas.ripe.net,213.222.217.85,29389854
7064,Poland,Poland,52.9895,18.6705,pl-tor-as50599.anchors.atlas.ripe.net,91.236.55.69,36389527
7249,Bialystok,Poland,53.1315,23.0895,pl-bia-as41931.anchors.atlas.ripe.net,77.46.127.110,57847141
6510,Chisinau,Republic of Moldova,47.0175,28.8375,md-kiv-as43289.anchors.atlas.ripe.net,178.17.170.109,19874430
6417,Bucharest,Romania,44.4205,26.0975,ro-buh-as48112.anchors.atlas.ripe.net,185.173.16.151,17427923
6453,Iasi,Romania,47.1585,27.5895,ro-ias-as60149.anchors.atlas.ripe.net,86.107.73.26,18397007
6475,Timisoara,Romania,45.7695,21.2305,ro-tsr-as60149.anchors.atlas.ripe.net,93.113.126.132,18812127
