,Cities,Latency,GeodesicDistance,GCD,GCDPredic,GeodesicPredic,Error Percent
74,"('6373', '6101')",29.123183,1.2159382996370047,1682.39837176498,34.000401921253136,33.536414377663355,15.153671141177647
75,"('6373', '6208')",34.530215,1.1988373014542897,1678.4204332626891,33.92000983923155,33.06475708921508,4.243987217527954
76,"('6373', '6222')",44.125009,1.3704182925762871,2007.8402614030206,40.577414378830106,37.79707880267315,14.340915369165932
77,"('6373', '6257')",0.251897,0.0,23.816746659111107,0.48132414561059816,0.0,100.0
78,"('6373', '6274')",42.171183,1.803840182088588,2412.8279849738487,48.76200704467766,49.75115253435313,17.974287167502826
79,"('6373', '6280')",13.85965,0.4127510971784735,644.6444307905565,13.027930905676243,11.383959065969718,17.862579026384378
80,"('6373', '6287')",32.565583,0.8242970240554601,1065.6592566800346,21.53642302935284,22.734678706354778,30.188018724078177
81,"('6373', '6373')",0.089477,0.0,0.0,0.0,0.0,100.0
82,"('6373', '6379')",30.723663,0.8480046351808396,1426.7661521748264,28.83420682979627,23.388550922438917,23.874471209897994
83,"('6373', '6388')",26.558628,1.1059161963430162,1250.2201989660084,25.266304323820062,30.50192911811459,14.847533231440233
84,"('6373', '6389')",19.031868,0.6050616747621939,1022.5814409345779,20.66584262829203,16.68801702761199,12.315401580065647
85,"('6373', '6418')",16.948014,0.4811284826179988,728.7909551737832,14.728488691110131,13.26985437237276,21.702599653429836
86,"('6373', '6428')",35.807669,0.9718572515745021,1499.2554734943021,30.299178563735474,26.80449124307494,25.143155107150537
87,"('6373', '6557')",25.493274,1.1706007985858389,1380.9477141519787,27.908239868388353,32.285974924811555,26.645070871679938
88,"('6373', '6574')",31.893547,1.1059161963430162,1754.5225554975366,35.45799441320057,30.50192911811459,4.363321150467876
89,"('6373', '6613')",43.54799,0.19248707304820445,263.7485905577936,5.330222755577964,5.308925827910228,87.80902212040044
90,"('6428', '6066')",12.1879,0.5525637024529346,766.2756848817181,15.48603571289087,15.240086853954326,25.04276252639359
91,"('6428', '6080')",45.539926,1.6812105264792323,2390.2684694177833,48.30609089014031,46.368942313050596,1.8204164693868727
92,"('6428', '6101')",55.572002,2.1767673119379967,3145.246220602902,63.563801199838444,60.03673919860744,8.034148560290207
93,"('6428', '6208')",59.03977,2.2036076775389755,3177.061996752262,64.20678159893382,60.77701493719642,2.942499500246058
94,"('6428', '6222')",32.992044,0.460566982573966,749.3287796063071,15.143547512500557,12.702754063163912,61.497523272083676
95,"('6428', '6257')",27.236502,0.9718572515745021,1513.9828233061246,30.59681069488854,26.80449124307494,1.5861462566854696
96,"('6428', '6274')",65.337453,2.7093759449370487,3771.327874580614,76.21658797615541,74.7264515160082,14.370009978822102
97,"('6428', '6280')",24.944524,0.5502555924663073,1016.7042398565117,20.547067430824,15.176427593477158,39.159281638418285
98,"('6428', '6287')",42.127802,1.358680453237999,1955.1286099615247,39.51213913545022,37.47334112283792,11.048430386095339
99,"('6428', '6373')",35.807669,0.9718572515745021,1499.2554734943021,30.299178563735474,26.80449124307494,25.143155107150537
